"TOA5","S6100","CR1000","E11654","CR1000.Std.31.02","CPU:S6102_ZB_P1.CR1","16643","lufft_ZB"
"TIMESTAMP","RECORD","Air_Temperature_Avg","Rel_Humidity_Avg","Rel_Air_Pressure_Avg","Wind_speed_Avg_","Wind_dir_vct","Wet_bulb_Temp_Avg","Prec_type_Tot","Prec_intensity_Avg","Dew_point_Avg","Battery_Vdc","Status_total_Tot"
"TS","RN","","","","","Deg","","","","","",""
"","","Avg","Avg","Avg","WVc:","WVc:","Avg","Tot","Avg","Avg","Smp","Tot"
"2018-12-19 23:40:00",127,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-19 23:45:00",128,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-19 23:50:00",129,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-19 23:55:00",130,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.46,0
"2018-12-20 00:00:00",131,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 00:05:00",132,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 00:10:00",133,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 00:15:00",134,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 00:20:00",135,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 00:25:00",136,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 00:30:00",137,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 00:35:00",138,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 00:40:00",139,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 00:45:00",140,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 00:50:00",141,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 00:55:00",142,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 01:00:00",143,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 01:05:00",144,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 01:10:00",145,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 01:15:00",146,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 01:20:00",147,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 01:25:00",148,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 01:30:00",149,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 01:35:00",150,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 01:40:00",151,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 01:45:00",152,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 01:50:00",153,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 01:55:00",154,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 02:00:00",155,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 02:05:00",156,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 02:10:00",157,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 02:15:00",158,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 02:20:00",159,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 02:25:00",160,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 02:30:00",161,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 02:35:00",162,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 02:40:00",163,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 02:45:00",164,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 02:50:00",165,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 02:55:00",166,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 03:00:00",167,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 03:05:00",168,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 03:10:00",169,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 03:15:00",170,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 03:20:00",171,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 03:25:00",172,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 03:30:00",173,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 03:35:00",174,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 03:40:00",175,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 03:45:00",176,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 03:50:00",177,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 03:55:00",178,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 04:00:00",179,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 04:05:00",180,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 04:10:00",181,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 04:15:00",182,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 04:20:00",183,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 04:25:00",184,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 04:30:00",185,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 04:35:00",186,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 04:40:00",187,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 04:45:00",188,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
"2018-12-20 04:50:00",189,"NAN","NAN","NAN","NAN","NAN","NAN",0,"NAN","NAN",12.45,0
