"TOA5","S6100","CR1000","E11654","CR1000.Std.31.02","CPU:S6102_ZB_P1.CR1","16643","druksonde_ZB_P1"
"TIMESTAMP","RECORD","Druk_Avg(1)","Druk_Avg(2)"
"TS","RN","",""
"","","Avg","Avg"
"2019-01-01 12:00:00",310,"NAN",0
"2019-01-01 13:00:00",311,"NAN",0
"2019-01-01 14:00:00",312,"NAN",0
"2019-01-01 15:00:00",313,"NAN",0
"2019-01-01 16:00:00",314,"NAN",0
"2019-01-01 17:00:00",315,"NAN",0
"2019-01-01 18:00:00",316,"NAN",0
"2019-01-01 19:00:00",317,"NAN",0
"2019-01-01 20:00:00",318,"NAN",0
"2019-01-01 21:00:00",319,"NAN",0
"2019-01-01 22:00:00",320,"NAN",0
"2019-01-01 23:00:00",321,"NAN",0
"2019-01-02 00:00:00",322,"NAN",0
"2019-01-02 01:00:00",323,"NAN",0
"2019-01-02 02:00:00",324,"NAN",0
"2019-01-02 03:00:00",325,"NAN",0
"2019-01-02 04:00:00",326,"NAN",0
"2019-01-02 05:00:00",327,"NAN",0
"2019-01-02 06:00:00",328,"NAN",0
"2019-01-02 07:00:00",329,"NAN",0
"2019-01-02 08:00:00",330,"NAN",0
"2019-01-02 09:00:00",331,"NAN",0
"2019-01-02 10:00:00",332,"NAN",0
"2019-01-02 11:00:00",333,"NAN",0
"2019-01-02 12:00:00",334,"NAN",0
"2019-01-02 13:00:00",335,"NAN",0
"2019-01-02 14:00:00",336,"NAN",0
"2019-01-02 15:00:00",337,"NAN",0
"2019-01-02 16:00:00",338,"NAN",0
"2019-01-02 17:00:00",339,"NAN",0
"2019-01-02 18:00:00",340,"NAN",0
"2019-01-02 19:00:00",341,"NAN",0
"2019-01-02 20:00:00",342,"NAN",0
"2019-01-02 21:00:00",343,"NAN",0
"2019-01-02 22:00:00",344,"NAN",0
"2019-01-02 23:00:00",345,"NAN",0
"2019-01-03 00:00:00",346,"NAN",0
"2019-01-03 01:00:00",347,"NAN",0
"2019-01-03 02:00:00",348,"NAN",0
"2019-01-03 03:00:00",349,"NAN",0
"2019-01-03 04:00:00",350,"NAN",0
"2019-01-03 05:00:00",351,"NAN",0
"2019-01-03 06:00:00",352,"NAN",0
"2019-01-03 07:00:00",353,"NAN",0
